competitionId,competitionAbbrev,competitionName,season,seasonId,associationId,associationName,ageGroup,ageGroupId,gender,competitionLevel,competitionLevelId,logo,hasStats,isVisible,geniusId,skoyId/0,skoyId/1,skoyId/2
8894,Liga BETCLIC Masculina,Liga BETCLIC Masculina,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,LPB,32,https://sav2.fpb.pt/uploads/provas/logotipos/logo88941628706457.png,1,1,31044,30,32,55
8895,Proliga,XIX Campeonato da Proliga,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,Proliga,2,https://sav2.fpb.pt/uploads/provas/logotipos/logo88951633646038.png,1,1,31087,,,
8897,CN 1ª Masculina,IX Campeonato Nacional 1ª Divisão Masculina,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,CN 1.ª Divisão,46,https://sav2.fpb.pt/uploads/provas/logotipos/logo88971630422119.png,1,1,31133,,,
8898,CN 2ª Masculina,V Campeonato Nacional 2ª Divisão Masculina,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,CN 2.ª Divisão,38,https://sav2.fpb.pt/uploads/provas/logotipos/logo88981630422158.png,1,1,31150,,,
8899,Liga BETCLIC Feminina,Liga BETCLIC Feminina,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,19,F,LFB,7,https://sav2.fpb.pt/uploads/provas/logotipos/logo88991633517344.png,1,1,31047,,,
8900,CN 1 Feminina,LVI Campeonato Nacional 1ª Divisão Feminina,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,19,F,1 Div F,1,https://sav2.fpb.pt/uploads/provas/logotipos/logo89001630422187.png,1,1,31142,,,
8901,CN 2 Feminina,LV Campeonato Nacional 2ª Divisão Feminina,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,19,F,2 Div F,5,https://sav2.fpb.pt/uploads/provas/logotipos/logo89011630930203.png,1,1,31152,,,
8902,1ª Divisão BCR,XXX Campeonato Nacional 1ª Divisão BCR,2021/2022,60,50,Federação Portuguesa de Basquetebol,BCR,31,M,BCR,48,https://sav2.fpb.pt/uploads/provas/logotipos/logo89021651488874.png,1,1,31273,,,
8903,2ª Divisão BCR,VIII Campeonato Nacional 2ª Divisão BCR,2021/2022,60,50,Federação Portuguesa de Basquetebol,BCR,31,M,BCR,48,https://sav2.fpb.pt/uploads/provas/logotipos/logo89031651488897.png,0,1,0,,,
8904,FIBA WC 2023 Q, FIBA World Cup 2023 Qualifiers,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,Sel Nac,26,https://sav2.fpb.pt/uploads/provas/logotipos/logo89041637055907.png,0,1,0,,,
8906,Champions League,Basketball Champions League,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,Sen M,24,https://sav2.fpb.pt/uploads/provas/logotipos/logo89061670099902.png,0,1,0,,,
8907,FIBAEurope Cup,FIBA Europe Cup,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,Sen M,24,https://sav2.fpb.pt/uploads/provas/logotipos/logo89071629492815.png,0,1,0,,,
8908,EuroCup Women,FIBA EuroCup Women,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,19,F,Sen F,25,https://sav2.fpb.pt/uploads/provas/logotipos/logo89081629492838.png,0,1,0,,,
8909,Taça de Portugal Alfaloc,LXXIII Taça de Portugal Alfaloc,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,Sen M,24,https://sav2.fpb.pt/uploads/provas/logotipos/logo89091646160073.png,1,1,31089,,,
8910,Taça de Portugal Skoiy,LVI Taça de Portugal Skoiy,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,19,F,Sen F,25,https://sav2.fpb.pt/uploads/provas/logotipos/logo89101646243845.png,1,1,31088,,,
8911,Taça de Portugal BCR,XXVIII Taça de Portugal BCR,2021/2022,60,50,Federação Portuguesa de Basquetebol,BCR,31,M,BCR,48,https://sav2.fpb.pt/uploads/provas/logotipos/logo89111660676138.png,1,1,33706,,,
8912,Supertaça,XXXVI Supertaça Masculina,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,Sen M,24,https://sav2.fpb.pt/uploads/provas/logotipos/logo89121632303110.png,1,1,30934,,,
8913,Supertaça Feminina,XXXVI Supertaça Feminina,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,19,F,Sen F,25,https://sav2.fpb.pt/uploads/provas/logotipos/logo89131632303143.png,1,1,30974,,,
8914,Supertaça BCR,XXVI Supertaça BCR,2021/2022,60,50,Federação Portuguesa de Basquetebol,BCR,31,M,BCR,48,https://sav2.fpb.pt/uploads/provas/logotipos/logo89141633015157.jpg,1,1,31078,,,
8915,Taça Hugo dos Santos Betc,XIII Taça Hugo dos Santos Betclic,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,Sen M,24,https://sav2.fpb.pt/uploads/provas/logotipos/logo89151642702695.png,1,1,31672,,,
8916,Taça Federação Betclic,XII Taça Federação Betclic,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,19,F,Sen F,25,https://sav2.fpb.pt/uploads/provas/logotipos/logo89161647634966.png,1,1,33346,,,
8917,CNT Ponte Sor,Centro Nacional de Treino de Ponte Sor,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,Sen M,24,,1,1,31238,,,
8918,CAR Jamor,Centro Nacional de Treino do Jamor,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,19,F,Sen F,25,,1,1,31303,,,
8921,Azeméis Cup 2021,VIII Azeméis Basketball Cup 2021,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,Sen M,24,https://sav2.fpb.pt/uploads/provas/logotipos/logo89211630872520.png,1,1,30869,,,
8922,Albufeira Cup 21,IV Albufeira Basket Cup 2021,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,Sen M,24,https://sav2.fpb.pt/uploads/provas/logotipos/logo89221631647934.png,1,1,30788,,,
8923,Jogos Apresentação Masculino,Jogos Apresentação Masculino,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,Sen M,24,,1,1,30755,,,
8924,Torneio de Lisboa,Torneio Internacional de Lisboa,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,Sen M,24,,1,1,30744,,,
8925,Torneio Cidade do Funchal,8º Torneio Nacional - Cidade do Funchal,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,19,F,Sen F,25,,1,1,30844,,,
8926,Jogos Apresentação Femini,Jogos Apresentação Feminino,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,19,F,Sen F,25,,1,1,30843,,,
8940,Torneio BC Gaia BCR,IV Torneio BC Gaia BCR	,2021/2022,60,50,Federação Portuguesa de Basquetebol,BCR,31,M,BCR,48,,0,1,0,,,
8941,Torneio Sangalhos,Torneio Humberto Mendes - Sangalhos,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sénior,18,M,Sen M,24,,0,1,0,,,
8994,Torneio Lisboa BCR,XX Torneio Internacional de Lisboa BCR,2021/2022,60,50,Federação Portuguesa de Basquetebol,BCR,31,M,BCR,48,,0,1,0,,,
9079,Liga Masters DHIKA,V Liga Masters DHIKA,2021/2022,60,50,Federação Portuguesa de Basquetebol,Masters / Veteranos,29,M,Master/Veteranos,58,https://sav2.fpb.pt/uploads/provas/logotipos/logo90791640438829.png,0,1,0,,,
9085,Jogos SN BCR,Jogos Preparação SN BCR,2021/2022,60,50,Federação Portuguesa de Basquetebol,BCR,31,M,BCR,48,,0,1,0,,,
9112,Torneio Pedro Raimundo,Torneio Memorial Pedro Raimundo - 11ª Edição,2021/2022,60,50,Federação Portuguesa de Basquetebol,Sub 16,3,M,Sub 16 M,17,,0,1,0,,,
