equipas/id;equipas/epoca;equipas/nome;equipas/associacao;equipas/idAssociacao;equipas/clube;equipas/idClube;equipas/logoClube;equipas/tipo_equipa;equipas/nivel_competitivo;equipas/escalao;equipas/genero;equipas/foto;equipas/skoy_id_equipa
40591;2021/2022;Sporting CP;Associação de Basquetebol de Lisboa;1;Sporting Clube de Portugal;169;https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png;;LPB;Sénior;Masculino;https://sav2.fpb.pt/uploads/equipas/Sporting_CP1631009165.jpg;0
40592;2021/2022;FC Porto;Associação de Basquetebol do Porto;4;Futebol Clube do Porto;120;https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png;;LPB;Sénior;Masculino;https://sav2.fpb.pt/uploads/equipas/FC_Porto1634122974.jpg;0
40593;2021/2022;Imortal LUZiGÁS;Associação de Basquetebol do Algarve ;9;Imortal Basket Club;2932;https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png;;LPB;Sénior;Masculino;https://sav2.fpb.pt/uploads/equipas/Imortal_LUZiGAS1634248542.jpg;0
40594;2021/2022;SL Benfica;Associação de Basquetebol de Lisboa;1;Sport Lisboa e Benfica;127;https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png;;LPB;Sénior;Masculino;;0
40595;2021/2022;UD Oliveirense;Associação de Basquetebol de Aveiro;3;União Desportiva Oliveirense;28;https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png;;LPB;Sénior;Masculino;https://sav2.fpb.pt/uploads/equipas/UD_Oliveirense1639480934.jpg;0
40596;2021/2022;Lusitânia Expert;Associação de Basquetebol da Ilha Terceira ;13;Sport Club Lusitânia ;76;https://sav2.fpb.pt/old_uploads/CLU/CLU_76_LOGO.png;;LPB;Sénior;Masculino;https://sav2.fpb.pt/uploads/equipas/EQU_405961663858017.jpeg;0
40597;2021/2022;CAB Madeira SAD;Associação de Basquetebol da Madeira;6;Clube Amigos do Basquete da Madeira, Basquetebol SAD ;987;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_9871666877561.jpg;;LPB;Sénior;Masculino;https://sav2.fpb.pt/uploads/equipas/CAB_Madeira_SAD1632863651.JPG;0
40527;2021/2022;Vitória SC;Associação de Basquetebol de Braga;5;Vitória Sport Clube;2300;https://sav2.fpb.pt/old_uploads/CLU/CLU_2300_LOGO.png;;LPB;Sénior;Masculino;https://sav2.fpb.pt/uploads/equipas/Vitoria_SC1633386640.jpeg;0
40598;2021/2022;Ovarense GAVEX;Associação de Basquetebol de Aveiro;3;A.D.O. Basquetebol da Associação Desportiva Ovarense;12;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png;;LPB;Sénior;Masculino;https://sav2.fpb.pt/uploads/equipas/Ovarense_GAVEX1633000679.jpg;0
40599;2021/2022;Académica EFAPEL;Associação de Basquetebol de Coimbra;8;Associação Académica de Coimbra;39;https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png;;LPB;Sénior;Masculino;https://sav2.fpb.pt/uploads/equipas/Academica_EFAPEL1640008742.jpg;0
40600;2021/2022;CD Póvoa;Associação de Basquetebol do Porto;4;Clube Desportivo da Póvoa;118;https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg;;LPB;Sénior;Masculino;https://sav2.fpb.pt/uploads/equipas/CD_Povoa1632843902.jpeg;0
40601;2021/2022;Illiabum Clube;Associação de Basquetebol de Aveiro;3;Illiabum Clube ;22;https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png;;LPB;Sénior;Masculino;https://sav2.fpb.pt/uploads/equipas/Illiabum_Clube1633382531.jpg;0
