jogadores/licenca,jogadores/nome,jogadores/short_name,jogadores/fotografia,jogadores/posicaotatica,jogadores/pais,jogadores/equipa,jogadores/logotipo,jogadores/skoy_id_jogador,jogadores/shirtNumber,jogadores/nomeEquipa,jogadores/idEpoca,jogadores/epoca,jogadores/idClube,jogadores/nomeClube,jogadores/siglaClube,jogadores/idAssociacao,jogadores/associacao,jogadores/dataNascimento,jogadores/genero,jogadores/altura,jogadores/peso,jogadores/foto_acao,jogadores/facebook,jogadores/instagram,jogadores/twitter
272930,Aaron Broussard,Aaron Broussard,https://sav2.fpb.pt/uploads/utilizadores/223590_1662745073.png,BASE / EXTREMO,Estados Unidos da América,Sport Lisboa e Benfica,https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png,0,1,SL Benfica ,60,2021/2022,127,Sport Lisboa e Benfica,SLB,1,Associação de Basquetebol de Lisboa,1990-04-14,M,196,0,,,,
188949,Afonso José Ferreira Henriques Falcão Marques,Afonso Marques,https://sav2.fpb.pt/uploads/utilizadores/117089_1665741335.png,,Portugal,Associação Académica de Coimbra,https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png,0,11,Académica EFAPEL ,60,2021/2022,39,Associação Académica de Coimbra,AAC,8,Associação de Basquetebol de Coimbra,2002-05-18,M,170,0,,,,
196448,Afonso Morais Guedes,Afonso Guedes,https://sav2.fpb.pt/uploads/utilizadores/125220_1631009962.png,,Portugal,Sporting Clube de Portugal,https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png,0,16,Sporting CP ,60,2021/2022,169,Sporting Clube de Portugal,SCP,1,Associação de Basquetebol de Lisboa,2003-03-06,M,196,0,,,,
273260,Alexander Jacob Thompson,Alexander Thompson,https://sav2.fpb.pt/uploads/utilizadores/223975_1632675959.png,,Estados Unidos da América,Sport Club Lusitânia ,https://sav2.fpb.pt/old_uploads/CLU/CLU_76_LOGO.png,0,20,Lusitânia Expert ,60,2021/2022,76,Sport Club Lusitânia ,SCL,13,Associação de Basquetebol da Ilha Terceira ,1995-04-25,M,203,0,,,,
278310,Amenhotep Kazembe Ture Abif,Amenhotep Abif,https://sav2.fpb.pt/uploads/utilizadores/229701_1645088602.png,POSTE,Estados Unidos da América,Sport Club Lusitânia ,https://sav2.fpb.pt/old_uploads/CLU/CLU_76_LOGO.png,0,32,Lusitânia Expert ,60,2021/2022,76,Sport Club Lusitânia ,SCL,13,Associação de Basquetebol da Ilha Terceira ,1992-11-18,M,201,110,,,,
109007,André Filipe de Oliveira Bessa,André Bessa,https://sav2.fpb.pt/uploads/utilizadores/31629_1663795551.png,BASE,Portugal,Vitória Sport Clube,https://sav2.fpb.pt/old_uploads/CLU/CLU_2300_LOGO.png,0,9,Vitória SC ,60,2021/2022,2300,Vitória Sport Clube,VSC,5,Associação de Basquetebol de Braga,1989-01-13,M,182,78,,,,
279035,Andrew Edward KosteckaIII ,Andrew KosteckaIII,https://sav2.fpb.pt/uploads/utilizadores/230480_1641600095.png,,Estados Unidos da América,Associação Académica de Coimbra,https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png,0,14,Académica EFAPEL ,60,2021/2022,39,Associação Académica de Coimbra,AAC,8,Associação de Basquetebol de Coimbra,1997-08-19,M,0,0,,,,
273376,Andrew Michael Richard Robinson,Andrew Robinson,https://sav2.fpb.pt/uploads/utilizadores/224118_1632420011.png,,Estados Unidos da América,Imortal Basket Club,https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png,0,14,Imortal LUZiGÁS ,60,2021/2022,2932,Imortal Basket Club,IBC,9,Associação de Basquetebol do Algarve ,1996-06-05,M,196,0,,,,
268721,Anthony Louis Smith,Anthony Smith,https://sav2.fpb.pt/uploads/utilizadores/218675_1632323565.png,,Estados Unidos da América,Imortal Basket Club,https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png,0,24,Imortal LUZiGÁS ,60,2021/2022,2932,Imortal Basket Club,IBC,9,Associação de Basquetebol do Algarve ,1997-03-16,M,202,0,,,,
166708,António Nicolau Monteiro,António Monteiro,https://sav2.fpb.pt/uploads/utilizadores/93970_1662817205.png,EXTREMO / POSTE,Angola,Sporting Clube de Portugal,https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png,0,10,Sporting CP ,60,2021/2022,169,Sporting Clube de Portugal,SCP,1,Associação de Basquetebol de Lisboa,1989-04-02,M,204,0,,,,
