Jogos/IdJogo;Jogos/numero_jogo;Jogos/Jornada;Jogos/idJornada;Jogos/Fase;Jogos/idFase;Jogos/Realização;Jogos/estado_jogo;Jogos/idCompeticao;Jogos/nome_prova;Jogos/short_name;Jogos/Data;Jogos/hora;Jogos/Equipa_Casa;Jogos/Equipa_Casa_Sigla;Jogos/Equipa_Casa_Id;Jogos/Equipa_Casa_Logo;Jogos/Equipa_Fora;Jogos/Equipa_Fora_Sigla;Jogos/Equipa_Fora_Id;Jogos/Equipa_Fora_Logo;Jogos/Resultado_casa;Jogos/Resultado_fora;Jogos/id_genius_jogo;Jogos/canal_tv;Jogos/recinto_nome;Jogos/recinto_id;Jogos/localidade;Jogos/skoy_id_jogo;Jogos/transmissao/0/canal;Jogos/transmissao/0/url;Jogos/transmissao/1/canal;Jogos/transmissao/1/url;Jogos/transmissao/2/canal;Jogos/transmissao/2/url
303384;586;1;1;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-02;17:00;Ovarense GAVEX ;OVA;40598;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png;Sporting CP ;SCP;40591;https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png;69;88;1948494;false;Arena de Ovar;9744;Ovar;0;;;;;;
303379;581;1;1;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-02;18:00;Illiabum Clube ;ILL;40601;https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png;Lusitânia Expert ;SCL;40596;https://sav2.fpb.pt/old_uploads/CLU/CLU_76_LOGO.png;83;89;1948489;false;Pavilhão Municipal Capitão Adriano Nordeste;9225;Ílhavo;55;;;;;;
303383;585;1;1;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-03;15:30;FC Porto ;FCP;40592;https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png;CAB Madeira SAD ;CAB;40597;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_9871666877561.jpg;71;41;1948493;false;Pavilhão Dragão Arena;9876;Porto;0;;;;;;
303381;583;1;1;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-03;16:00;CD Póvoa ;CDP;40600;https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg;Imortal LUZiGÁS ;IBC;40593;https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png;67;76;1948491;false;Clube Desportivo Póvoa;9153;Póvoa de Varzim;0;;;;;;
303382;584;1;1;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-03;18:00;Académica EFAPEL ;AAC;40599;https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png;UD Oliveirense ;UDO;40595;https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png;81;97;1948492;false;Engº Jorge Anjinho;9199;Coimbra;0;;;;;;
303380;582;1;1;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-05;15:00;SL Benfica ;SLB;40594;https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png;Vitória SC ;VSC;40527;https://sav2.fpb.pt/old_uploads/CLU/CLU_2300_LOGO.png;96;57;1948490;false;Pavilhão Fidelidade;9526;Lisboa;0;;;;;;
303412;614;6;6;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-05;18:00;Sporting CP ;SCP;40591;https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png;Illiabum Clube ;ILL;40601;https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png;94;74;1948522;false;Pavilhão João Rocha;10284;Lisboa;0;;;;;;
303390;592;2;2;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-09;15:00;Sporting CP ;SCP;40591;https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png;FC Porto ;FCP;40592;https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png;72;78;1948500;false;Pavilhão João Rocha;10284;Lisboa;0;;;;;;
303387;589;2;2;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-09;16:00;Imortal LUZiGÁS ;IBC;40593;https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png;SL Benfica ;SLB;40594;https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png;72;77;1948497;false;Pavilhão Desportivo de Albufeira;9889;Albufeira;0;;;;;;
303385;587;2;2;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-09;20:30;Lusitânia Expert ;SCL;40596;https://sav2.fpb.pt/old_uploads/CLU/CLU_76_LOGO.png;Ovarense GAVEX ;OVA;40598;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png;79;77;1948495;false;Pavilhão Municipal de Angra do Heroísmo ;9197;Angra do Heroismo;0;;;;;;
